Bill of Materials,,,,,,,,,,,,,,,,,,,
,,,,,,Total Pieces:,53,,,,,,,,,,,,
,,,,,,Total Cost:,1746.79,,,,,,,,,,,,
Final Part,Category,Name,Link,Quantity,Unit of Measurement,Per Unit Cost CAD,Shipping,True Cost ,Has It been Ordered,How many ordered,,,,,,,,,
Sensors,Raw Materials,"20""x20""x1"" 20 PPI Foam ",https://www.amazon.ca/ALEGI-Aquarium-Sponge-Filter-Sponges/dp/B0C99S8J7D/ref=sr_1_5?dib=eyJ2IjoiMSJ9._nr5TpAVQ5GBV7HEcCJ832CEw33JvRlNbxTm5avl6OuALf68NWZklfUqHB_xK9uN7nAky_-ThIK0x3LKdXc1yi8ZJsp4M5nQ17VAKuASp5VQLqBAifxpEWQerOhTpqPzs7gr3hVNGePWtl2KzSprpwY0vmlG_nNjgXbUPx-knaRAPS2HcpBXn-TnKiekWHRQItk-LvGrqNyO9i4lnE2zV9P_CRmhThBUNm386lmT8JuLH-TKhn-eiNZQAbNYWL_UmCHTqwgoHQpY5dulhMzrpvjc-oITxNra0M_l6CNqtTQ.5zfK8As5f9IT1gAu-6EqRff9kGPqaPEx062oriKU--Q&dib_tag=se&gad_source=1&hvadid=605674337726&hvdev=c&hvexpln=0&hvlocphy=9001561&hvnetw=g&hvocijid=17714247527347916304--&hvqmt=e&hvrand=17714247527347916304&hvtargid=kwd-299449465907&hydadcr=25324_13542390&keywords=aquarium%2Bfilter%2Bsponge&mcid=9873627480c73e319bf63a5665ef5333&qid=1761762337&sr=8-5&th=1,1,Piece, $15.99 , $-   , $15.99 ,No,,,,,,,,,,
Sensors,Electrical Components,Figaro NGM 2611-E13,https://www.figarosensor.com/product/entry/ngm2611.html,7,Piece, $33.74 , $60.00 , $296.18 ,Yes,,,,,,,,,,
Sensors,Electrical Components,SenseAir K33 ELG,https://www.co2meter.com/en-ca/products/k-33-icb-co2-sensor?variant=19003982,1,Piece, $400.00 , $-   , $400.00 ,No,,,,,,,,,,
Sensors,Electrical Components,SHT45,https://www.mouser.ca/ProductDetail/Adafruit/5665?qs=mELouGlnn3dyBBHYyvKU4A%3D%3D,1,Piece, $20.00 ,, $20.00 ,,,,,,,,,,,
Sensors,Raw Materials,3D Filament PETG,https://3dprintingcanada.com/products/black-bambu-lab-petg-hf-filament-1-75mm-1-kg?variant=42508806684741&country=CA&currency=CAD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=22639937693&gbraid=0AAAAADGayZQ8ZhNJz7WyXDdQfdSXVFCO0&gclid=Cj0KCQiAq7HIBhDoARIsAOATDxCYqmpGiReqi8vwGx-_fFn-rPDoTCAkYeEdDUogaFWkAR9jPqJyHE8aAopkEALw_wcB,1,Spool, $29.99 , $-   , $29.99 ,,,,,,,,,,,
Data Logger,Electrical Components,QWIIC Breakout,https://www.mouser.ca/ProductDetail/485-5961,1,Piece, $2.97 , $-   , $2.97 ,,,,,,,,,,,
Data Logger,Electrical Components,QWIIC Wire,https://www.mouser.ca/ProductDetail/485-4210,1,Piece, $1.45 , $-   , $1.45 ,,,,,,,,,,,
Data Logger,Electrical Components,INA333 Amp,https://leeselectronic.com/en/product/18487-ina333-amplifier-op-amp-module-bio-micro-signal.html,1,Piece, $11.95 , $-   , $11.95 ,,,,,,,,,,,
Data Logger,Electrical Components,AD623 Amp,https://www.mouser.ca/ProductDetail/584-AD623ANZ,1,Piece, $14.84 , $-   , $14.84 ,,,,,,,,,,,
Data Logger,Electrical Components,RTC DS3231 Breakout Board,https://www.mouser.ca/ProductDetail/485-3013,1,Piece, $26.64 , $-   , $26.64 ,,,,,,,,,,,
Data Logger,Electrical Components,External ADC I2C,https://www.mouser.ca/ProductDetail/Adafruit/5974?qs=IKkN%2F947nfAOkaWgHqoH5Q%3D%3D,1,Piece, $15.15 , $-   , $15.15 ,,,,,,,,,,,
Data Logger,Electrical Components,MISC Hardware,https://canadabolts.ca/products/metric-machine-screws-socket-head-cap-full-thread-stainless-steel-m2-5?variant=44790933061856,1,Piece, $100.00 , $-   , $100.00 ,,,,,,,,,,,
Data Logger,Electrical Components,Solar Panel and charge controller,Eco-Worthy 25W 12V solar panel and controller ($60),1,Piece, $60.00 , $-   , $60.00 ,,,,,,,,,,,
Data Logger,Electrical Components,Arduino MKR WAN,https://www.mouser.ca/ProductDetail/Arduino/ABX00029?qs=rkhjVJ6%2F3EJR8pfu7j970Q%3D%3D,1,Piece, $75.00 ,, $75.00 ,,,,,,,,,,,
Data Logger,Electrical Components,DS3231 Breakout Board RTC,https://www.mouser.ca/ProductDetail/Adafruit/5188?qs=TCDPyi3sCW0TSTr1Xi7pUg%3D%3D,1,Piece, $22.00 ,, $22.00 ,,,,,,,,,,,
Data Logger,Electrical Components,SanDisk Ultra 16GB,https://www.amazon.ca/SanDisk-Ultra-SDSQUNS-016G-GN3MN-UHS-I-microSDHC/dp/B074B4P7KD/ref=sr_1_3?crid=3INYM7C645M3G&dib=eyJ2IjoiMSJ9.q1TGhc4twPHe9o0A2_tR0CuPrZgJbeo4BKhHssaCGRPA_yu-974UzIlf4KhoZIY4-Q8R910bV4ysxJax4WXbmf8x5Wt0a3_W1C0Iw9SAY0NZY7vdn9YYN2qZaurSsP9zVYlrekSw7PY7rzGBK7WO_UhfJagbQKHwipUZiSkl3ods0TyEBntFPT_f6FNn3rvAP9ttsn0qIPGvs1_mZdQ0ZmxLVR4gXS-vzvL7_dPzsh8dy1vu97EyNYzPlbKFiZys8JmiOIRDf1tLPrViSi5fPEOSJIISMdMLgYVf1x5qlRg.xJSKpSClMBFtC20_m4WPdzJzMTNEpB5xsSgdNZ0tS9c&dib_tag=se&keywords=sandisk+ultra+16+gb+micro+sd&qid=1762815471&s=electronics&sprefix=sandisk+ultra+16+gb+micro+sd%2Celectronics%2C137&sr=1-3,1,Piece, $15.00 ,, $15.00 ,,,,,,,,,,,
Data Logger,Electrical Components,L4931 5V Voltage Regulator,L4931 5V,1,Piece, $1.00 ,, $1.00 ,,,,,,,,,,,
