Designator,Mid X,Mid Y,Rotation,Layer
_5,145.2,-85.38,0.0,top
_4,145.2,-90.46,0.0,top
_3,145.2,-93.0,0.0,top
_2,145.2,-87.92,0.0,top
,145.2,-82.84,0.0,top
CH1,149.0,-88.08,0.0,top
J1,161.0,-88.5,90.0,top
