Designator,Footprint,Quantity,Value,LCSC Part #
"_5, _4, _3, _2, ",,5,,
CH1,PinHeader_1x05_P2.54mm_Vertical,1,~,
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Socket,
